Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
Solomon Islands,SLB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.097,0.093,-0.075,0.13,-0.478,-0.139,-0.138,-0.142,0.244,0.149,-0.121,-0.327,0.206,0.113,0.061,-0.055,0.16525543478260868,0.346,0.27,0.208,0.475,-0.054,0.331,0.272,0.22,0.009,-0.016,0.645,0.158,0.554813829787234,0.26,0.492,0.057,0.043,0.643,0.402,0.293,0.654,0.249,0.563,0.850231884057971,0.9245450236966825,0.592,0.752,0.792,0.549,0.962,0.8078104265402842,0.319,0.69,0.797,0.887,0.789,0.766,0.674,1.4384811320754716,1.2800892018779342,1.3021698113207547,1.4430566037735848,1.185,0.955,1.038,East Asia & Pacific,Lower middle income,28896.0,26
Somalia,SOM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.333,-0.028,-0.211,0.027,-0.388,0.173,-0.09,-0.591,0.018,0.079,-0.245,0.298,0.571,-0.027,0.128,0.264,0.493,0.249,0.07,0.651,0.121,0.336,0.454,-0.001,0.007,0.097,0.869,0.719,-0.101,0.108,0.228,0.531,0.162,0.499,0.461,0.619,0.423,0.617,0.388,0.421,0.83,0.82,1.047,0.465,1.07,0.845,0.958,0.677,1.29,1.091,1.057,0.976,1.089,1.121,1.467,1.267,1.623,0.709,1.528,1.724,1.532,1.449,Sub-Saharan Africa,Low income,637657.0,29
South Africa,ZAF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.251,0.215,0.185,-0.072,-0.025,0.246,-0.073,-0.376,0.287,0.365,-0.153,0.106,0.35,-0.245,-0.132,-0.504,0.171,0.059,0.317,0.237,-0.328,0.212,0.707,0.535,0.663,0.463,0.743,0.338,-0.034,0.324,0.367,0.807,0.836,0.208,0.633,-0.15,0.219,0.825,1.096,0.271,0.516,0.453,0.791,0.874,1.031,0.361,0.721,0.575,0.662,1.083,0.446,0.508,0.655,0.838,1.3,1.562,1.103,1.016,1.811,0.89,0.809,1.094,Sub-Saharan Africa,Upper middle income,1221037.0,50
Spain,ESP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.728,0.411,-0.233,0.486,-0.2,0.392,0.146,0.093,-0.285,0.131,-0.741,-0.825,-0.164,-0.434,-0.091,-0.367,-0.16,0.101,0.276,0.186,0.344,0.709,0.55,-0.163,0.484,0.259,0.724,0.796,1.039,1.446,0.209,0.305,-0.059,1.044,1.444,0.722,1.535,1.189,0.814,0.81,1.406,0.812,1.598,1.004,0.902,1.526,0.835,0.864,1.36,0.908,1.613,1.043,0.906,1.603,1.533,1.714,2.036,1.149,1.534,2.083,1.431,2.489,Europe & Central Asia,High income,505992.0,95
Sri Lanka,LKA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.105,-0.092,-0.029,0.07,-0.145,0.213,-0.082,-0.066,0.229,0.125,-0.334,-0.103,0.413,-0.245,-0.183,-0.117,0.038,0.091,0.327,0.419,0.151,0.137,0.637,-0.02,0.077,0.158,0.685,0.704,0.219,0.569,0.516,0.214,0.217,0.305,0.575,0.402,0.559,1.187,0.355,0.462,0.698,0.852,0.759,0.673,0.722,0.496,0.496,0.421,0.783,1.105,0.739,0.977,0.862,0.997,1.006,1.369,1.095,0.823,1.275,1.315,1.034,1.004,South Asia,Lower middle income,65610.0,354
Sudan,SDN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,0.23674396135265702,0.21535096153846153,0.6100096618357488,0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,0.6695096153846153,0.850231884057971,0.9245450236966825,0.844,0.7772028301886792,0.8518436018957345,0.8760093457943926,1.02175,0.8078104265402842,0.910345971563981,1.0984813084112148,0.881,1.032,1.147,0.952,1.502,1.172,1.21,1.227,0.881,0.458,1.241,0.773,Sub-Saharan Africa,Low income,1886068.0,26
Suriname,SUR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.067,-0.046,-0.055,0.047,0.001,0.242,-0.092,-0.277,0.507,0.22,-0.429,-0.077,0.12,-0.348,-0.364,-0.05,0.128,0.073,0.299,0.28,0.219,0.228,0.453,-0.252,0.001,0.126,0.734,0.561,0.069,0.31,0.337,0.579,0.286,0.305,0.827,0.922,0.775,1.357,0.614,0.657,0.781,1.01,1.069,1.097,1.426,1.003,0.98,1.076,1.414,1.509,1.074,0.986,1.118,1.136,1.309,1.79,1.439,1.25,1.53,1.682,1.277,1.296,Latin America & Caribbean,Upper middle income,163820.0,4
Sweden,SWE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",1.563,-0.69,-0.458,0.393,-0.223,-1.672,0.83,-0.929,-0.207,-1.098,0.03,0.791,1.145,0.935,1.574,-0.11,-0.466,-0.075,-1.091,-0.569,-0.228,-0.134,0.911,0.583,-1.036,-0.493,-1.201,0.726,1.998,1.692,1.025,1.374,0.806,0.195,1.263,-0.164,0.981,0.561,1.362,1.721,1.071,1.566,0.914,1.198,1.825,1.485,1.938,1.954,1.432,-0.279,1.267,1.313,0.857,2.704,2.069,1.841,1.588,1.844,1.568,2.943,1.846,2.11,Europe & Central Asia,High income,450295.0,26
Switzerland,CHE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.988,-0.357,-0.87,0.137,-0.791,0.466,0.554,-0.062,-0.079,-0.486,-0.069,-0.061,-0.056,0.089,0.622,0.367,0.172,-0.362,-0.063,-0.194,-0.016,0.579,0.869,-0.33,-0.328,0.242,-0.01,0.916,1.142,1.417,0.328,0.969,0.562,1.859,1.001,0.029,1.063,1.111,0.98,1.42,1.45,1.258,1.848,0.974,0.808,1.091,1.804,1.195,1.371,0.459,1.667,1.512,0.782,2.169,1.972,1.859,1.837,2.343,2.096,2.514,1.181,2.798,Europe & Central Asia,High income,41284.0,223
Thailand,THA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.176,-0.164,-0.328,-0.041,-0.228,0.406,-0.058,-0.128,0.464,0.015,-0.469,0.043,0.361,-0.453,0.095,-0.501,0.109,0.306,0.617,0.536,0.346,0.182,0.495,0.158,0.359,0.137,0.815,0.354,0.384,0.592,0.729,0.455,0.389,0.438,0.769,0.319,0.48,1.529,0.504,0.14,0.733,0.734,0.869,0.625,0.974,0.773,0.638,0.496,0.605,1.405,0.36,1.023,1.234,0.845,1.392,1.659,1.202,0.954,1.857,1.596,1.112,1.014,East Asia & Pacific,Upper middle income,513120.0,141
Togo,TGO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.066,-0.156,0.101,-0.145,-0.074,0.121,-0.231,-0.142,0.261,0.305,-0.193,0.118,0.541,-0.027,-0.26,-0.295,0.387,-0.04,0.447,0.418,0.164,0.173,0.677,0.55,0.369,0.212,0.964,0.608,0.08,0.597,0.245,0.046,0.468,0.454,0.493,0.627,0.554,1.088,0.575,0.523,0.641,0.732,0.973,0.703,0.932,0.968,0.847,0.711,0.876,1.249,0.866,0.571,0.754,0.923,1.096,1.125,1.243,1.123,1.273,1.134,1.554,0.975,Sub-Saharan Africa,Low income,56785.0,166
Tonga,TON,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.333,-0.183,-0.283,0.239,-0.606,-0.411,-0.21,0.007,-0.203,0.409,0.202,0.012,0.451,0.108,0.085,-0.161,0.053,0.221,0.271,0.238,0.186,0.238,0.142,0.376,0.29,0.082,0.049,0.857,0.487,0.419,0.39,0.268,0.001,0.301,0.471,0.282,0.17,0.201,0.119,0.272,0.564,0.78,0.455,0.632,0.769,0.55,0.821,0.292,0.356,0.869,0.602,0.671,0.807,0.713,0.759,1.284,1.077,1.021,1.599,1.398,1.19,0.846,East Asia & Pacific,Upper middle income,747.0,150
Trinidad and Tobago,TTO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.188,-0.139,0.299,-0.068,-0.151,0.151,-0.107,-0.171,0.508,0.339,-0.343,-0.155,0.078,-0.376,-0.387,-0.266,-0.065,0.099,0.249,0.248,0.325,0.082,0.292,-0.101,-0.534,-0.336,0.422,0.303,-0.263,0.167,0.319,0.261,0.49,0.354,0.715,0.52,0.681,1.208,0.687,0.512,0.715,0.603,0.818,0.379,1.145,0.731,0.627,0.463,0.573,1.247,0.577,0.626,0.792,0.692,0.824,0.925,1.177,0.667,1.191,1.395,0.952,0.714,Latin America & Caribbean,High income,5130.0,299
Tunisia,TUN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.274,0.152,-0.075,0.347,-0.127,0.535,0.023,0.078,0.058,-0.2,-0.225,-0.34,-0.122,-0.332,-0.35,-0.731,0.598,-0.392,0.426,-0.197,0.094,0.821,0.226,-0.112,0.407,0.447,0.61,1.336,0.481,1.418,-0.041,0.0,0.635,1.328,0.659,0.633,1.252,0.987,1.747,1.014,1.992,1.25,1.697,0.916,1.047,1.271,1.388,1.374,0.865,1.752,1.038,1.607,1.47,1.879,1.192,1.896,1.377,1.507,1.34,2.015,2.555,2.291,Middle East & North Africa,Lower middle income,163610.0,80
Turkmenistan,TKM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,-0.059,-0.157,0.289,1.404,-0.032,1.387,0.977,1.309,1.302,1.533,1.804,0.057,1.652,1.303,1.697,1.127,0.731,1.064,1.891,1.098,0.78,1.643,0.714,1.427,2.02,1.692,1.524,1.818,1.528,1.647,2.528,Europe & Central Asia,Upper middle income,488100.0,14
Turks and Caicos Islands,TCA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.154,-0.227,0.169,0.348,-0.178,-0.024,-0.179,-0.125,0.316,-0.062,-0.162,-0.084,0.126,-0.102,0.232,-0.35,0.223,0.622,-0.005,0.36,0.371,0.468,0.636,0.279,0.12,0.269,0.81,0.588,0.317,0.583,0.36763101604278076,0.23674396135265702,0.21535096153846153,0.6100096618357488,0.6282535885167464,0.592,0.902,1.354,0.918,0.592,1.002,0.885,1.321,0.86,0.967,1.009,1.331,0.649,0.74,1.185,0.595,0.777,1.307,1.247,1.471,0.831,1.063,1.3021698113207547,1.456,1.547,0.94,0.944,Latin America & Caribbean,High income,948.0,49
Tuvalu,TUV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.071,0.085,-0.033,-0.028,-0.33,-0.011,-0.252,-0.268,0.186,0.058,-0.356,0.038,0.412,0.072,-0.024090909090909086,-0.077,-0.047,0.073,0.252,0.293,0.151,0.036,-0.063,0.094,0.188,0.427,0.005,0.089,-0.122,0.222,0.541,0.232,0.008,0.6100096618357488,0.399,0.364,0.41,0.192,0.392,0.501,0.761,0.793,0.549,0.636,0.815,0.668,0.758,0.392,0.665,0.922,0.805,0.612,0.682,0.646,0.798,0.921,1.013,0.975,1.078,1.195,0.689,0.663,East Asia & Pacific,Upper middle income,26.0,380
Uganda,UGA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.032,-0.295,-0.183,-0.236,-0.117,-0.007,-0.09,-0.268,0.122,0.037,-0.158,0.093,0.374,-0.109,-0.036,0.07,0.215,0.156,0.33,0.626,0.448,0.385,0.664,0.279,0.098,0.237,0.605,0.433,-0.103,0.264,0.207,0.248,0.176,0.269,0.431,0.299,0.542,0.411,0.072,0.273,0.183,0.675,0.908,0.681,1.232,0.967,0.455,0.774,1.295,1.425,1.099,1.117,1.06,1.136,1.159,1.262,1.735,1.102,1.616,1.236,1.499,1.416,Sub-Saharan Africa,Low income,241550.0,242
Ukraine,UKR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,0.476,-0.724,1.165,0.959,-0.405,-0.328,0.741,1.169,1.439,1.809,1.553,-0.252,0.93,1.023,0.27,2.379,1.621,1.607,1.649,0.581,1.957,1.522,1.718,2.075,2.114,1.419,2.242,2.37,3.026,1.435,1.931,Europe & Central Asia,Lower middle income,603500.0,63
United Arab Emirates,ARE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.285,0.538,0.369,-0.287,0.211,0.276,-0.057,-0.616,0.574,0.422,-0.151,-0.801,-0.329,-0.46,-0.332,-0.562,0.391,0.037,0.445,0.372,0.225,-0.325,-0.697,-0.187,0.138,0.191,0.162,0.191,-0.31,0.241,-0.282,-0.667,-0.038,0.381,-0.198,0.306,-0.342,0.968,1.293,0.681,0.56,1.123,1.052,1.052,0.725,1.255,0.802,0.777,0.896,1.482,1.121,1.086,0.739,0.909,1.556,1.059,1.632,1.498,1.204,1.21,1.699,1.482,Middle East & North Africa,High income,83600.0,134
United Kingdom,GBR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.491,-0.734,-0.868,0.025,-0.575,-0.137,0.22,-0.07,-0.213,-0.076,0.254,-0.055,0.203,-0.062,0.604,0.729,-0.323,0.07,-0.781,-0.022,0.176,0.118,0.348,0.337,-0.522,-0.594,-0.283,0.307,1.145,1.016,0.21,0.522,-0.015,0.413,1.119,-0.142,0.882,0.86,1.133,0.724,0.631,1.011,1.194,1.035,1.116,1.25,1.332,0.838,0.948,-0.05,0.851,0.576,0.364,1.718,0.614,1.161,1.424,0.998,1.231,1.373,0.929,1.911,Europe & Central Asia,High income,242900.0,280
United States,USA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.003,-0.026,0.418,-0.282,-0.362,-0.214,0.076,-0.073,-0.267,-0.03,-0.415,-0.252,-0.013,0.081,-0.389,-0.124,0.397,0.035,-0.306,0.412,0.871,-0.343,0.54,-0.233,-0.025,0.584,0.913,0.471,0.324,0.674,0.527,0.395,0.004,0.466,0.63,-0.011,0.384,1.272,0.758,1.0,0.786,0.951,0.99,0.863,1.153,1.026,1.143,0.212,0.398,0.695,0.537,1.448,0.614,0.501,1.531,2.224,1.433,1.276,1.034,1.324,1.144,1.217,North America,High income,9372610.0,37
Uruguay,URY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.398,-0.473,0.33,-0.762,0.18,-0.421,0.019,0.385,0.149,0.374,-0.345,0.25,-0.124,-0.048,0.031,-0.334,0.502,0.116,0.128,0.571,0.5,0.574,-0.052,0.103,0.431,0.77,0.336,-0.504,0.74,0.575,0.309,0.146,0.28,0.45,0.277,0.478,1.099,0.102,0.065,0.333,1.226,0.61,0.324,0.458,0.802,0.586,0.131,0.719,0.508,0.261,0.447,0.836,0.149,1.162,1.048,0.301,1.546,1.196,0.766,0.89,0.79,0.382,Latin America & Caribbean,High income,181034.0,20
Vanuatu,VUT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.168,0.092,-0.165,0.22,-0.569,-0.27,-0.144,-0.288,0.013,0.299,0.016,-0.321,0.558,0.378,0.239,0.041,-0.047,0.114,0.103,0.147,0.099,0.072,0.215,0.034,0.603,-0.068,-0.166,0.689,0.122,0.357,0.066,0.055,-0.281,-0.074,0.439,0.474,0.245,0.757,0.883,0.777,0.401,0.452,0.36,0.462,0.536,0.394,0.921,0.712,0.438,0.878,0.669,0.402,0.706,0.585,0.573,1.146,1.131,0.613,0.897,1.226,1.147,1.479,East Asia & Pacific,Lower middle income,12189.0,27
Zambia,ZMB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.228,-0.168,-0.39,-0.279,-0.418,0.3,-0.014,-0.13,0.243,0.351,-0.249,-0.139,0.383,-0.405,-0.127,-0.314,0.51,0.087,0.249,0.138,-0.158,0.34,1.064,0.575,0.206,0.061,0.958,0.627,0.139,0.772,0.166,0.544,-0.117,0.362,0.761,0.393,0.339,0.876,0.064,-0.04,0.263,0.711,0.871,0.606,0.948,0.623,0.78,0.438,0.306,1.21,0.956,0.972,0.79,0.917,1.45,1.401,0.105,0.648,0.855,0.891,0.822,0.686,Sub-Saharan Africa,Lower middle income,752612.0,28
Zimbabwe,ZWE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.267,0.237,-0.458,-0.097,-0.48,0.215,-0.043,0.093,0.215,0.421,-0.052,-0.397,0.601,-0.485,-0.262,-0.436,0.433,-0.016,0.189,-0.024,-0.36,0.17,1.223,0.483,0.027,0.025,1.07,0.447,0.181,0.567,0.192,1.01,0.3,-0.085,0.685,-0.247,-0.025,0.801,0.03,-0.417,0.004,0.487,0.355,-0.004,0.945,-0.26,0.127,0.078,-0.226,0.935,0.232,0.334,0.118,0.025,0.97,1.27,0.088,0.453,0.925,0.389,-0.125,-0.49,Sub-Saharan Africa,Lower middle income,390757.0,43
